"Marca temporal","¿Qué grupo te envió la encuesta?","1. Sexo","2. ¿Cuál es tu peso actual (kg)? ","3. ¿Cuál es tu estatura en metros? ","4. Edad en años cumplidos","5. Carrera universitaria","6. Ciclo académico","7. ¿En cuántos cursos te encuentras matriculado actualmente?","8. Considerando los últimos 7 días, ¿Cuántas horas en total a la semana dedicaste a realizar actividad física (deporte, gimnasio, caminatas intensas, etc.)?","9. ¿Cuántas horas al día en promedio dedico al estudio (de lunes a viernes) sin contar las horas de clases?","10. ¿Cuál de las siguientes opciones describe mejor tu alimentación actual?","11. ¿Cuántas comidas principales (ej. desayuno, almuerzo, cena) consumes habitualmente en un día?","12. ¿Cuántas veces a la semana consumes comidas rápidas con alto contenido calórico y grasas (pizzas, hamburguesas, papas fritas, pollo frito, hot dogs, tacos)?","13. ¿Cuántos días a la semana preparas tu propia comida en casa para traerla a la universidad? (donde 0 = ningún día, 6= de lunes a sábado)","14. ¿Cuántos días a la semana realizas actividad física? (0 = ningún día , 7 = todos los días (de lunes a domingo)","15. ¿Cómo calificarías tu nivel de actividad física semanal?","16. ¿Cómo calificarías la calidad de tu sueño en general?  ","17. ¿Cuántas horas duermes en promedio por noche?  Considerar desde el momento que se recuestan y dejan de usar los dispositivos móviles hasta que se despiertan.","18. ¿Cuántas veces al mes consumes alcohol?  ( 0 = ninguna vez, 1, 2, 3, … ) ","19. ¿Qué cantidad de desayuno consumes habitualmente?","20. ¿Cuántos días a la semana consumes bebidas energéticas? (0 = ningún día de la semana, 1, 2, …, 7)","21. Cuando consumes bebidas energéticas, ¿cuántas unidades tomas por día?","22. ¿Cómo calificarías tu nivel de consumo de café o bebidas energizantes para estudiar?","23. ¿Cuál es tu percepción del nivel de estrés?","24. ¿Cuántos litros de agua pura en promedio consumes al día? Ejemplo 1.5","25. ¿Qué actividades consideras te ayudan a disminuir el nivel de estrés?","26. ¿Cuál es el motivo principal por el que realizas actividad física?","27. Qué tipo de actividad física realizas con mayor frecuencia durante el ciclo académico 2026-I?","28. ¿Cómo percibes tu estado de salud general?  ","29. ¿Padeces alguna enfermedad crónica (diabetes, asma, etc.)?  ","30. ¿Aproximadamente cuántos soles gastas en promedio al mes en productos que consideras saludables?","31. ¿Con qué frecuencia se siente con energía para realizar sus actividades diarias?","32. ¿Considera que sus hábitos de alimentación influyen en su estado de salud?","33. ¿Considera que dormir pocas horas afecta su bienestar físico y mental?","34. ¿Con qué frecuencia se siente emocionalmente bien?"
"2026/04/23 2:42:53 p. m. GMT-5","5","Femenino","63","1.61","22","Administración, Negocios y Contabilidad.","7","8","2","15","Omnívora: Consume alimentos de origen animal y vegetal.","3","4","5","1","Muy bajo","Mala","4.5","0","1","0","0","1","2","1","Dormir más horas que lo habitual","Mejora del rendimiento físico / Estética.","Anaeróbica (pesas, entrenamiento de fuerza).","Regular","No","120","A veces","Regular","Bastante","A veces"
"2026/04/23 3:03:52 p. m. GMT-5","5","Femenino","60","1.68","23","Humanidades, Artes y Educación.","10","1","4 ","2","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","2","Regular","Regular","6.5","0","2","0","0","1","2","1.5","Realizar actividad física","Reducción de estrés y ansiedad","Mixta.","Buena","No","20","Frecuentemente","Regular","Bastante","Frecuentemente"
"2026/04/23 3:13:58 p. m. GMT-5","5","Masculino","74","1.69","18","Humanidades, Artes y Educación.","3","6","1","3 ","Omnívora: Consume alimentos de origen animal y vegetal.","3","4","0","0","Muy bajo","Muy mala","7","0","4","1","1","1","4","1.5","Realizar actividad física","Reducción de estrés y ansiedad","No realizo actividad física.","Mala","No","0","Rara vez","Regular","Bastante","Frecuentemente"
"2026/04/23 3:14:31 p. m. GMT-5","9","Femenino","70","1.73","18","Ingeniería, Tecnología y Construcción.","4","6","4.5","0","Omnívora: Consume alimentos de origen animal y vegetal.","1","3","1","3","Alto","Mala","5","6","0","0","0","4","1","3","Salir a pasear o conversar con mis amigos","Salud general y recomendación médica.","Deportes colectivos (futbol, basket, vóley).","Regular","No","300","Frecuentemente","Poco","Poco","Rara vez"
"2026/04/23 4:14:37 p. m. GMT-5","8","Masculino","72","1.76","21","Ingeniería, Tecnología y Construcción.","4","5","1","3","Crudista: Consiste en consumir alimentos crudos o cocinados a bajas temperaturas, generalmente orgánicos.","3","4","0","3","Regular","Regular","5","0","2","0","0","0","0","3","Salir a pasear o conversar con mis amigos","Reducción de estrés y ansiedad","Deportes colectivos (futbol, basket, vóley).","Regular","No","4","A veces","Poco","Bastante","Frecuentemente"
"2026/04/23 4:18:08 p. m. GMT-5","8","Femenino","47","1.53","19","Ingeniería, Tecnología y Construcción.","5","3","3.5","2","Omnívora: Consume alimentos de origen animal y vegetal.","2","1","3","2","Muy bajo","Mala","5","0","2","0","0","1","3","2","Realizar actividad física","Mejora del rendimiento físico / Estética.","Anaeróbica (pesas, entrenamiento de fuerza).","Regular","No","20","Frecuentemente","Regular","Regular","Frecuentemente"
"2026/04/23 4:26:04 p. m. GMT-5","3","Femenino","60","1.58","18","Administración, Negocios y Contabilidad.","3","8","1.5","3","Flexitariana: Es una dieta principalmente vegetariana, pero que permite el consumo ocasional de carne o pescado.","2","1","2","2","Bajo","Mala","5","0","0","1","1","1","3","3","Salir a pasear o conversar con mis amigos","Recreación y socialización con amigos.","Mixta.","Regular","No","50","A veces","Bastante","Bastante","A veces"
"2026/04/23 4:28:08 p. m. GMT-5","3","Masculino","65","1.74","17","Ciencias Sociales y Derecho.","1","4","1.5","18","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","6","2","Bajo","Regular","7","2","3","2","1","3","3","3","Salir a pasear o conversar con mis amigos","Mejora del rendimiento físico / Estética.","Anaeróbica (pesas, entrenamiento de fuerza).","Buena","No","20","Frecuentemente","Regular","Bastante","Frecuentemente"
"2026/04/23 4:30:27 p. m. GMT-5","5","Femenino","68","1.64","22","Ciencias de la Salud.","10","6","12","3","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","1","4","Regular","Regular","6.5","0","3","0","1","2","4","1.5","Realizar actividad física","Mejora del rendimiento físico / Estética.","Mixta.","Regular","No","80","A veces","Bastante","Bastante","A veces"
"2026/04/23 4:32:30 p. m. GMT-5","3","Masculino","85","1.70","18","Ciencias de la Salud.","3","7","2","6","Omnívora: Consume alimentos de origen animal y vegetal.","4","1","7","2","Bajo","Regular","6","0","3","3","1","2","3","1.5","Realizar actividad física","Salud general y recomendación médica.","Anaeróbica (pesas, entrenamiento de fuerza).","Regular","No","409","Frecuentemente","Bastante","Bastante","Frecuentemente"
"2026/04/23 4:33:36 p. m. GMT-5","3","Masculino","60","1.64","18","Ciencias de la Salud.","3","6","4.0","3.5","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","3","Regular","Regular","6","0","3","0","0","0","2","1.0","Salir a pasear o conversar con mis amigos","Salud general y recomendación médica.","Aeróbica (correr, nadar, bicicleta).","Regular","No","450","Frecuentemente","Bastante","Bastante","Frecuentemente"
"2026/04/23 4:36:27 p. m. GMT-5","5","Femenino","67","1.56","42","Humanidades, Artes y Educación.","9","6","4","4","Omnívora: Consume alimentos de origen animal y vegetal.","2","1","6","4","Muy bajo","Mala","6","2","0","0","0","2","4","1","Realizar actividad física","Mejora del rendimiento físico / Estética.","Aeróbica (correr, nadar, bicicleta).","Regular","No","10","A veces","Bastante","Bastante","Frecuentemente"
"2026/04/23 4:38:14 p. m. GMT-5","3","Femenino","45","1.6","18","Ingeniería, Tecnología y Construcción.","2","6","4","6","Omnívora: Consume alimentos de origen animal y vegetal.","3","2","1","3","Bajo","Mala","4","0","3","4","2","3","3","2","Dormir más horas que lo habitual","Reducción de estrés y ansiedad","Deportes colectivos (futbol, basket, vóley).","Buena","No","25","A veces","Regular","Bastante","A veces"
"2026/04/23 4:41:00 p. m. GMT-5","3","Masculino","68","1.72","18","Ciencias de la Salud.","3","7","4","18","Flexitariana: Es una dieta principalmente vegetariana, pero que permite el consumo ocasional de carne o pescado.","4","5","0","2","Bajo","Mala","5","1","4","0","0","1","4","1.5","Dormir más horas que lo habitual","Reducción de estrés y ansiedad","Mixta.","Regular","No","350","A veces","Bastante","Bastante","Frecuentemente"
"2026/04/23 4:42:20 p. m. GMT-5","3","Masculino","90","1.75","18","Ciencias de la Salud.","3","6","1","3","Omnívora: Consume alimentos de origen animal y vegetal.","4","4","6","4","Regular","Mala","4","0","4","3","2","0","3","1","Jugar videojuegos","Mejora del rendimiento físico / Estética.","Anaeróbica (pesas, entrenamiento de fuerza).","Regular","No","100","Frecuentemente","Bastante","Bastante","A veces"
"2026/04/23 4:48:03 p. m. GMT-5","3","Masculino","74","1.82","18","Ciencias de la Salud.","3","5","3 ","8","Omnívora: Consume alimentos de origen animal y vegetal.","5","3","0","4","Alto","Regular","8","0","3","0","1","0","3","3","Realizar actividad física","Mejora del rendimiento físico / Estética.","Anaeróbica (pesas, entrenamiento de fuerza).","Muy buena","No","100","Frecuentemente","Bastante","Bastante","Frecuentemente"
"2026/04/23 4:53:40 p. m. GMT-5","3","Femenino","53","1.55","18","Ciencias de la Salud.","3","4","1","9","Omnívora: Consume alimentos de origen animal y vegetal.","2","1","5","3","Regular","Mala","4","1","3","4","1","4","3","1","Salir a pasear o conversar con mis amigos","Reducción de estrés y ansiedad","Aeróbica (correr, nadar, bicicleta).","Regular","No","320","Frecuentemente","Regular","Regular","A veces"
"2026/04/23 4:59:56 p. m. GMT-5","3","Masculino","50","1.65","18","Ciencias de la Salud.","3","6","1","5","Omnívora: Consume alimentos de origen animal y vegetal.","3","2","0","1","Bajo","Regular","6","0","1","0","0","1","3","1","Salir a pasear o conversar con mis amigos","Reducción de estrés y ansiedad","Mixta.","Regular","No","0","A veces","Regular","Bastante","Frecuentemente"
"2026/04/23 5:02:50 p. m. GMT-5","5","Masculino","73","1.76","21","Ciencias de la Salud.","9","6","7","1","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","4","Alto","Regular","6","1","2","0","1","0","4","3","Salir a pasear o conversar con mis amigos","Salud general y recomendación médica.","Mixta.","Regular","No","150","A veces","Bastante","Bastante","A veces"
"2026/04/23 5:25:33 p. m. GMT-5","3","Femenino","58","1.58","21","Ciencias de la Salud.","4","5","1","5","Omnívora: Consume alimentos de origen animal y vegetal.","4","1","5","1","Muy bajo","Mala","5","0","3","0","0","1","3","2","Salir a pasear o conversar con mis amigos","Reducción de estrés y ansiedad","Aeróbica (correr, nadar, bicicleta).","Regular","No","10","A veces","Bastante","Bastante","A veces"
"2026/04/23 5:56:26 p. m. GMT-5","5","Femenino","52","1.63","24","Humanidades, Artes y Educación.","9","7","1","2","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","1","Bajo","Regular","7","2","4","0","0","0","4","2.5","Dormir más horas que lo habitual","Reducción de estrés y ansiedad","No realizo actividad física.","Regular","No","0","Frecuentemente","Poco","Regular","A veces"
"2026/04/23 5:59:36 p. m. GMT-5","5","Femenino","62","1.57","21","Ciencias de la Salud.","9","6","1 ","4","Omnívora: Consume alimentos de origen animal y vegetal.","3","3","5","0","Bajo","Buena","7","4","2","0","0","0","3","1.5","Salir a pasear o conversar con mis amigos","Mejora del rendimiento físico / Estética.","No realizo actividad física.","Regular","No","10","Frecuentemente","Bastante","Bastante","Frecuentemente"
"2026/04/23 6:24:17 p. m. GMT-5","5","Femenino","60","1.58","52","Ciencias de la Salud.","8","6","3.5","1","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","2","1","Bajo","Regular","7","1","3","0","0","1","3","2","Realizar actividad física","Salud general y recomendación médica.","Anaeróbica (pesas, entrenamiento de fuerza).","Regular","No","150","Frecuentemente","Bastante","Bastante","Frecuentemente"
"2026/04/23 6:33:55 p. m. GMT-5","3","Masculino","53","1.61","22","Ingeniería, Tecnología y Construcción.","6","4","5","6","Omnívora: Consume alimentos de origen animal y vegetal.","2","5","0","7","Regular","Muy mala","7","0","0","0","0","0","2","2","Jugar videojuegos","Reducción de estrés y ansiedad","Aeróbica (correr, nadar, bicicleta).","Regular","No","0","Siempre","Bastante","Bastante","Nunca"
"2026/04/23 6:58:13 p. m. GMT-5","3","Femenino","55","1.45 ","26","Ciencias de la Salud.","4","5","1.5","6","Omnívora: Consume alimentos de origen animal y vegetal.","3","2","2","1","Regular","Regular","5","0","3","1","1","1","2","3 ","Salir a pasear o conversar con mis amigos","Mejora del rendimiento físico / Estética.","Aeróbica (correr, nadar, bicicleta).","Buena","No","30","Siempre","Bastante","Regular","Siempre"
"2026/04/23 7:14:11 p. m. GMT-5","3","Masculino","76","1.68","24","Administración, Negocios y Contabilidad.","8","6","10","7","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","7","7","Alto","Buena","8","2","3","2","1","0","2","3.5","Realizar actividad física","Mejora del rendimiento físico / Estética.","Anaeróbica (pesas, entrenamiento de fuerza).","Buena","No","500","Siempre","Bastante","Bastante","Frecuentemente"
"2026/04/23 7:53:11 p. m. GMT-5","3","Femenino","49","1.5","18","Ingeniería, Tecnología y Construcción.","3","5","1","5","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","0","Bajo","Mala","7","1","0","0","0","0","3","1.5","Salir a pasear o conversar con mis amigos","Salud general y recomendación médica.","No realizo actividad física.","Regular","No","30","Rara vez","Regular","Bastante","A veces"
"2026/04/23 11:34:13 p. m. GMT-5","9","Masculino","67","1.67","23","Humanidades, Artes y Educación.","10","6","2.5","3","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","3","Regular","Buena","9","2","3","0","0","0","2","4.5","Jugar videojuegos","Reducción de estrés y ansiedad","Mixta.","Buena","No","300","Frecuentemente","Regular","Regular","Frecuentemente"
"2026/04/24 8:47:01 a. m. GMT-5","8","Masculino","65","1.82","18","Ingeniería, Tecnología y Construcción.","3","6","1","18","Omnívora: Consume alimentos de origen animal y vegetal.","3","5","0","1","Bajo","Mala","6","0","1","0","0","0","1","7","Otros motivos","Reducción de estrés y ansiedad","Aeróbica (correr, nadar, bicicleta).","Regular","Sí","50","A veces","Poco","Muy poco","Siempre"
"2026/04/24 8:50:15 a. m. GMT-5","8","Femenino","142","1.62","18","Ingeniería, Tecnología y Construcción.","3","6","1","6","Omnívora: Consume alimentos de origen animal y vegetal.","3","2","0","1","Bajo","Mala","7","0","2","1","0","0","0","4","Dormir más horas que lo habitual","Mejora del rendimiento físico / Estética.","No realizo actividad física.","Regular","No","200","A veces","Regular","Muy poco","Siempre"
"2026/04/24 11:37:47 a. m. GMT-5","6","Masculino","85","1.84","18","Administración, Negocios y Contabilidad.","3","5","14","6","Omnívora: Consume alimentos de origen animal y vegetal.","3","2","5","6","Alto","Buena","7","2","4","1","1","1","3","3","Realizar actividad física","Mejora del rendimiento físico / Estética.","Mixta.","Buena","No","100","Frecuentemente","Regular","Bastante","A veces"
"2026/04/24 11:47:03 a. m. GMT-5","8","Femenino","53","1.56","18","Ingeniería, Tecnología y Construcción.","2","5","6.5","2.5","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","5","5","Regular","Regular","7","0","3","0","0","2","2","2","Jugar videojuegos","Recreación y socialización con amigos.","No realizo actividad física.","Regular","No","0","Siempre","Bastante","Bastante","Siempre"
"2026/04/24 12:31:02 p. m. GMT-5","5","Masculino","65.8","1.65","25","Ingeniería, Tecnología y Construcción.","3","6","2","3","Vegana: Dieta estricta basada exclusivamente en alimentos de origen vegetal, excluyendo cualquier producto animal.","3","1","1","1","Bajo","Buena","7","0","3","0","0","0","1","2","Realizar actividad física","Mejora del rendimiento físico / Estética.","Deportes colectivos (futbol, basket, vóley).","Muy buena","No","29","Frecuentemente","Bastante","Bastante","Siempre"
"2026/04/24 1:01:10 p. m. GMT-5","5","Femenino","80","1.70","20","Ingeniería, Tecnología y Construcción.","7","6","4","3","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","3","Regular","Buena","8","3","3","1","1","1","3","4","Dormir más horas que lo habitual","Salud general y recomendación médica.","Mixta.","Regular","No","50","A veces","Regular","Bastante","A veces"
"2026/04/24 1:29:27 p. m. GMT-5","5","Femenino","60","1.57","19","Ciencias Exactas y Ambientales.","7","5","1.5","4 ","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","3","2","Regular","Regular","5","0","2","0","0","0","3","1","Realizar actividad física","Reducción de estrés y ansiedad","Aeróbica (correr, nadar, bicicleta).","Buena","No","30","A veces","Poco","Bastante","Frecuentemente"
"2026/04/24 1:40:57 p. m. GMT-5","5","Femenino","57","1.62","20","Ciencias Exactas y Ambientales.","7","4","1","4","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","4","4","Regular","Regular","7","0","3","0","0","0","2","1","Ir de compras","Salud general y recomendación médica.","Mixta.","Buena","No","20","Frecuentemente","Bastante","Bastante","Frecuentemente"
"2026/04/24 1:52:59 p. m. GMT-5","5","Femenino","60","1.56","20","Ingeniería, Tecnología y Construcción.","7","5","2","5","Omnívora: Consume alimentos de origen animal y vegetal.","3","2","2","1","Bajo","Regular","6","0","4","0","0","0","4","2.5","Ir de compras","Reducción de estrés y ansiedad","Aeróbica (correr, nadar, bicicleta).","Regular","No","50","A veces","Regular","Regular","A veces"
"2026/04/24 3:42:51 p. m. GMT-5","8","Masculino","80","1.79","17","Ingeniería, Tecnología y Construcción.","1","6","1","18","Omnívora: Consume alimentos de origen animal y vegetal.","3","2","4","3","Bajo","Regular","6","0","3","4","1","2","0","4.5","Dormir más horas que lo habitual","Mejora del rendimiento físico / Estética.","Aeróbica (correr, nadar, bicicleta).","Buena","Sí","100","A veces","Bastante","Poco","Frecuentemente"
"2026/04/24 4:03:05 p. m. GMT-5","6","Femenino","49","1.62","19","Ingeniería, Tecnología y Construcción.","3","6","1","9","Flexitariana: Es una dieta principalmente vegetariana, pero que permite el consumo ocasional de carne o pescado.","3","1","5","0","Muy bajo","Buena","8","2","3","7","1","4","4","1","Dormir más horas que lo habitual","Mejora del rendimiento físico / Estética.","No realizo actividad física.","Regular","No","100","Rara vez","Regular","Bastante","Frecuentemente"
"2026/04/24 4:04:22 p. m. GMT-5","8","Femenino","75","1.60","19","Ciencias Sociales y Derecho.","5","6","2 ","3 ","Flexitariana: Es una dieta principalmente vegetariana, pero que permite el consumo ocasional de carne o pescado.","2","1","2","4","Regular","Mala","6","2","1","0","0","2","3","3","Salir a pasear o conversar con mis amigos","Salud general y recomendación médica.","Deportes colectivos (futbol, basket, vóley).","Regular","No","40","Frecuentemente","Poco","Poco","A veces"
"2026/04/24 4:16:28 p. m. GMT-5","6","Masculino","51","1.63","22","Ingeniería, Tecnología y Construcción.","7","7","1.5","5","Omnívora: Consume alimentos de origen animal y vegetal.","2","5","2","2","Regular","Regular","6","0","1","2","1","0","2","2","Jugar videojuegos","Reducción de estrés y ansiedad","Deportes colectivos (futbol, basket, vóley).","Regular","No","70","A veces","Bastante","Bastante","Frecuentemente"
"2026/04/24 4:20:46 p. m. GMT-5","6","Masculino","70","1.7","20","Ingeniería, Tecnología y Construcción.","8","4","3","2","Omnívora: Consume alimentos de origen animal y vegetal.","3","2","2","3","Regular","Buena","6","1","3","2","2","4","4","5","Realizar actividad física","Reducción de estrés y ansiedad","Deportes colectivos (futbol, basket, vóley).","Regular","No","20","Rara vez","Muy poco","Poco","A veces"
"2026/04/24 4:30:35 p. m. GMT-5","6","Masculino","70","1.72","20","Ingeniería, Tecnología y Construcción.","5","10","1","4","Frugívora/Frutariana: Basada principalmente en el consumo de frutas.","3","2","0","7","Alto","Buena","7","2","2","2","1","2","2","3.5","Realizar actividad física","Mejora del rendimiento físico / Estética.","Deportes colectivos (futbol, basket, vóley).","Muy buena","No","120","Frecuentemente","Regular","Poco","Frecuentemente"
"2026/04/24 4:58:12 p. m. GMT-5","8","Masculino","78","1.73","18","Ingeniería, Tecnología y Construcción.","3","6","2","5","Omnívora: Consume alimentos de origen animal y vegetal.","4","2","0","7","Regular","Regular","7","2","2","0","0","0","3","2","Salir a pasear o conversar con mis amigos","Mejora del rendimiento físico / Estética.","Aeróbica (correr, nadar, bicicleta).","Buena","No","50","Siempre","Bastante","Bastante","Siempre"
"2026/04/24 4:58:52 p. m. GMT-5","8","Masculino","55","1.70","17","Ingeniería, Tecnología y Construcción.","1","6","2.5","1","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","2","2","Bajo","Mala","5","0","3","0","0","0","4","1","Dormir más horas que lo habitual","Reducción de estrés y ansiedad","Aeróbica (correr, nadar, bicicleta).","Mala","No","0","Rara vez","Bastante","Bastante","A veces"
"2026/04/24 5:26:21 p. m. GMT-5","9","Masculino","77","2","25","Humanidades, Artes y Educación.","10","4","5","3","Omnívora: Consume alimentos de origen animal y vegetal.","3","3","3","3","Bajo","Regular","6","0","3","2","1","3","3","1","Realizar actividad física","Reducción de estrés y ansiedad","Deportes colectivos (futbol, basket, vóley).","Regular","No","20","Frecuentemente","Bastante","Bastante","Frecuentemente"
"2026/04/24 5:36:46 p. m. GMT-5","8","Masculino","65","1.78","18","Ingeniería, Tecnología y Construcción.","3","3","9","12","Omnívora: Consume alimentos de origen animal y vegetal.","3","3","2","5","Alto","Regular","7","0","3","0","0","0","2","3","Realizar actividad física","Mejora del rendimiento físico / Estética.","Deportes colectivos (futbol, basket, vóley).","Muy buena","No","500","Frecuentemente","Bastante","Bastante","A veces"
"2026/04/24 5:44:16 p. m. GMT-5","5","Femenino","40","1.60","18","Ciencias Sociales y Derecho.","3","4","4","4","Omnívora: Consume alimentos de origen animal y vegetal.","2","2","0","5","Regular","Mala","7","4","2","0","0","2","3","1.5","Ir de compras","Recreación y socialización con amigos.","Aeróbica (correr, nadar, bicicleta).","Regular","No","40","Rara vez","Regular","Regular","Frecuentemente"
"2026/04/24 5:58:35 p. m. GMT-5","5","Masculino","65","1.74","18","Ingeniería, Tecnología y Construcción.","3","6","10","2","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","7","Muy alto","Muy buena","8.5","0","4","0","0","0","0","1","Realizar actividad física","Mejora del rendimiento físico / Estética.","Aeróbica (correr, nadar, bicicleta).","Muy buena","No","0","Siempre","Bastante","Bastante","Frecuentemente"
"2026/04/24 5:59:01 p. m. GMT-5","3","Masculino","67","1.65","23","Administración, Negocios y Contabilidad.","10","4","1","8","Omnívora: Consume alimentos de origen animal y vegetal.","3","9","0","0","Muy bajo","Muy mala","7","4","2","7","4","3","2","1","Salir a pasear o conversar con mis amigos","Reducción de estrés y ansiedad","Deportes colectivos (futbol, basket, vóley).","Mala","No","0","Siempre","Regular","Regular","Nunca"
"2026/04/24 6:23:00 p. m. GMT-5","8","Femenino","48","1.60","19","Ciencias de la Salud.","1","7","4 ","1","Omnívora: Consume alimentos de origen animal y vegetal.","3","4","0","2","Regular","Regular","6 ","3","3","0","0","1","3","1.5","Realizar actividad física","Recreación y socialización con amigos.","Mixta.","Regular","No","60","Frecuentemente","Regular","Regular","Frecuentemente"
"2026/04/24 6:30:34 p. m. GMT-5","5","Masculino","71","1.73","18","Humanidades, Artes y Educación.","3","7","5","3","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","5","Alto","Mala","5.5","0","4","1","2","1","2","1.6","Salir a pasear o conversar con mis amigos","Mejora del rendimiento físico / Estética.","Anaeróbica (pesas, entrenamiento de fuerza).","Buena","No","0","Rara vez","Bastante","Regular","Frecuentemente"
"2026/04/24 6:31:50 p. m. GMT-5","8","Masculino","55 ","1.72","19","Ciencias de la Salud.","5","5","1","4","Omnívora: Consume alimentos de origen animal y vegetal.","3","2","1","2","Regular","Regular","7 ","1","3","2","1","2","4","1","Otros motivos","Mejora del rendimiento físico / Estética.","Anaeróbica (pesas, entrenamiento de fuerza).","Regular","No","1000","Frecuentemente","Regular","Bastante","A veces"
"2026/04/24 6:39:07 p. m. GMT-5","5","Masculino","70","1.70","19","Ingeniería, Tecnología y Construcción.","5","7","14","2.5","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","5","Alto","Buena","7","2","3","0","0","0","2","2","Jugar videojuegos","Mejora del rendimiento físico / Estética.","Deportes colectivos (futbol, basket, vóley).","Muy buena","No","0","A veces","Bastante","Bastante","Frecuentemente"
"2026/04/24 6:40:45 p. m. GMT-5","8","Masculino","75","1.75","19","Ingeniería, Tecnología y Construcción.","5","6","2","12","Omnívora: Consume alimentos de origen animal y vegetal.","3","1.5","0","1","Muy bajo","Regular","6.43","0","3","0","0","1","3","1","Jugar videojuegos","Salud general y recomendación médica.","Aeróbica (correr, nadar, bicicleta).","Buena","No","0","Rara vez","Muy poco","Bastante","Frecuentemente"
"2026/04/24 6:46:47 p. m. GMT-5","5","Femenino","50.7","1.60","18","Ciencias de la Salud.","3","7","6.5","1.5","Omnívora: Consume alimentos de origen animal y vegetal.","5","1","5","5","Alto","Regular","6","2","3","0","0","1","3","1.5","Ir de compras","Mejora del rendimiento físico / Estética.","Mixta.","Buena","No","2000","A veces","Bastante","Bastante","Frecuentemente"
"2026/04/24 7:43:32 p. m. GMT-5","5","Masculino","71","1.73","18","Ingeniería, Tecnología y Construcción.","3","3","4","2","Omnívora: Consume alimentos de origen animal y vegetal.","4","1","2","3","Regular","Regular","8","1","3","0","0","1","1","1.5","Realizar actividad física","Mejora del rendimiento físico / Estética.","Mixta.","Buena","No","15","Frecuentemente","Bastante","Bastante","Frecuentemente"
"2026/04/24 7:56:59 p. m. GMT-5","8","Masculino","65","1.75 ","19","Ciencias de la Salud.","5","6","4","5","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","7","6","Regular","Regular","5","10","4","2","0","2","1","2","Realizar actividad física","Mejora del rendimiento físico / Estética.","Anaeróbica (pesas, entrenamiento de fuerza).","Regular","No","30","A veces","Poco","Poco","A veces"
"2026/04/24 8:07:19 p. m. GMT-5","8","Femenino","57","1.59","19","Ingeniería, Tecnología y Construcción.","5","4","3","4","Omnívora: Consume alimentos de origen animal y vegetal.","4","3","0","3","Bajo","Regular","6","0","3","0","0","1","4","3","Ir de compras","Reducción de estrés y ansiedad","Aeróbica (correr, nadar, bicicleta).","Regular","No","300","Frecuentemente","Bastante","Bastante","Frecuentemente"
"2026/04/24 8:09:39 p. m. GMT-5","8","Masculino","150","3","100","Ciencias de la Salud.","2","10","5","7.9","Vegetariana: Excluye carne y pescado.","6","8","6","7","Muy bajo","Regular"," 12","6","2","0","4","3","4","10","Salir a pasear o conversar con mis amigos","Salud general y recomendación médica.","Deportes colectivos (futbol, basket, vóley).","Muy buena","Sí","2000","Siempre","Poco","Regular","Nunca"
"2026/04/24 8:11:10 p. m. GMT-5","8","Masculino","73","1.72","20","Ingeniería, Tecnología y Construcción.","6","6","2","4","Omnívora: Consume alimentos de origen animal y vegetal.","3","4","0","0","Bajo","Regular","8","3","2","2","1","3","3","2","Salir a pasear o conversar con mis amigos","Mejora del rendimiento físico / Estética.","Deportes colectivos (futbol, basket, vóley).","Regular","No","0","A veces","Regular","Bastante","Frecuentemente"
"2026/04/24 8:26:38 p. m. GMT-5","5","Femenino","78","1.64","18","Ciencias de la Salud.","3","7","4.5","2.5","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","3","3","Regular","Regular","7","0","3","0","0","1","3","1.5","Realizar actividad física","Salud general y recomendación médica.","Mixta.","Regular","No","40","A veces","Bastante","Bastante","A veces"
"2026/04/24 8:30:39 p. m. GMT-5","8","Masculino","65","1.6","20","Ingeniería, Tecnología y Construcción.","6","6","2","1","Crudista: Consiste en consumir alimentos crudos o cocinados a bajas temperaturas, generalmente orgánicos.","3","2","1","0","Alto","Buena","4","5","3","3","2","0","2","2","Jugar videojuegos","Recreación y socialización con amigos.","Deportes colectivos (futbol, basket, vóley).","Regular","Sí","2","A veces","Poco","Regular","Rara vez"
