Registro,Grupo,Semana,Ascensor,Inicia,Abre,Llega,Entraron,Salieron,Partida,Llegada,Espera,Viaje,Total,Servicio,Persona
2025-06-19 16:47:18,Grupo 7,12,T2-A,08:02:24,08:02:37,08:02:44,2,3,6,10,13,7,20,Regular,Estudiante
2025-06-19 16:58:59,Grupo 7,13,T2-B,12:02:15,12:02:19,12:02:22,1,5,10,2,4,3,7,Regular,Estudiante
2025-06-19 17:27:08,Grupo 7,13,T1-D,12:02:15,12:02:25,12:02:29,3,9,8,1,10,4,14,Regular,Estudiante
2025-06-19 18:29:26,Grupo 7,13,T1-C,08:05:00,08:06:00,08:09:00,4,2,1,8,60,180,240,Bueno,Estudiante
2025-06-19 18:30:17,Grupo 7,13,T2-A,08:15:00,08:16:00,08:17:00,4,1,8,2,60,60,120,Bueno,Estudiante
2025-06-19 18:32:56,Grupo 7,13,T2-B,09:10:00,09:10:00,09:11:00,8,5,1,6,0,60,60,Bueno,Estudiante
2025-06-20 11:45:09,Grupo 7,12,T2-C,08:47:16,08:50:03,08:51:37,6,3,1,8,167,94,261,Regular,Estudiante
2025-06-20 13:00:25,Grupo 7,13,T1-C,08:05:00,08:06:00,08:07:00,5,2,1,5,60,60,120,Bueno,Estudiante
2025-06-20 14:13:12,Grupo 7,13,T1-B,12:45:27,12:46:42,12:47:58,6,2,5,11,75,76,151,Bueno,Estudiante
2025-06-20 15:38:28,Grupo 7,13,T2-B,14:56:32,14:57:04,14:57:49,5,2,1,3,32,45,77,Bueno,Estudiante
2025-06-23 08:45:27,Grupo 4,13,T2-B,08:44:00,08:44:11,08:44:29,1,1,6,8,11,18,29,Bueno,Estudiante
2025-06-23 12:12:04,Grupo 1,14,T1-C,12:10:30,12:11:19,12:11:53,3,5,8,1,49,34,83,Bueno,Estudiante
2025-06-23 12:33:01,Grupo 1,14,T1-B,12:31:12,12:32:30,12:32:45,4,2,1,6,78,15,93,Bueno,Estudiante
2025-06-23 12:37:14,Grupo 8,14,T1-C,12:24:21,12:24:39,12:25:18,1,1,8,2,18,39,57,Bueno,Estudiante
2025-06-23 12:38:06,Grupo 8,14,T1-D,12:25:29,12:25:50,12:26:15,2,2,2,9,21,25,46,Bueno,Estudiante
2025-06-23 12:40:41,Grupo 8,14,T2-A,12:39:59,12:40:20,12:41:18,3,1,9,1,21,58,79,Bueno,Estudiante
2025-06-23 12:45:26,Grupo 8,12,T1-C,08:56:37,08:58:42,08:59:21,7,4,1,8,125,39,164,Regular,Estudiante
2025-06-23 12:48:00,Grupo 1,14,T1-D,10:10:06,10:10:46,10:11:34,5,2,2,7,40,48,88,Regular,Estudiante
2025-06-23 12:49:16,Grupo 1,14,T1-D,10:20:34,10:20:49,10:21:45,6,2,3,9,15,56,71,Bueno,Estudiante
2025-06-23 12:51:55,Grupo 1,14,T1-C,10:25:34,10:25:54,10:26:45,4,3,4,8,20,51,71,Bueno,Estudiante
2025-06-23 12:53:01,Grupo 1,14,T2-C,10:30:03,10:30:54,10:31:45,5,4,2,10,51,51,102,Regular,Estudiante
2025-06-23 13:02:29,Grupo 1,14,T2-C,11:03:06,11:04:03,11:05:10,5,2,2,7,57,67,124,Regular,Estudiante
2025-06-23 13:03:37,Grupo 1,14,T2-A,11:05:03,11:06:44,11:07:56,5,4,4,9,101,72,173,Bueno,Estudiante
2025-06-23 13:26:57,Grupo 1,14,T2-B,13:24:39,13:26:00,13:26:23,3,2,2,6,81,23,104,Regular,Estudiante
2025-06-23 13:26:57,Grupo 8,14,T2-B,13:24:36,13:26:00,13:26:25,3,2,2,6,84,25,109,Regular,Estudiante
2025-06-23 13:44:02,Grupo 1,14,T1-C,13:40:41,13:42:09,13:43:17,1,1,4,10,88,68,156,Regular,Estudiante
2025-06-23 13:48:30,Grupo 1,14,T2-A,13:45:39,13:45:57,13:46:44,2,1,10,1,18,47,65,Bueno,Estudiante
2025-06-23 13:51:10,Grupo 1,14,T1-A,13:49:13,13:50:14,13:50:43,6,1,1,5,61,29,90,Bueno,Estudiante
2025-06-23 13:53:48,Grupo 1,14,T2-D,13:52:22,13:53:00,13:53:24,1,2,5,8,38,24,62,Bueno,Estudiante
2025-06-23 13:57:27,Grupo 1,14,T1-C,13:55:01,13:55:35,13:56:37,1,4,8,2,34,62,96,Bueno,Estudiante
2025-06-23 14:00:22,Grupo 8,14,T1-A,13:54:44,13:58:30,13:59:57,4,1,2,11,226,87,313,Malo,Estudiante
2025-06-23 14:01:05,Grupo 1,14,T2-D,13:58:23,14:00:08,14:00:42,2,4,2,8,105,34,139,Regular,Estudiante
2025-06-23 14:16:08,Grupo 1,14,T1-D,14:15:23,14:15:39,14:16:09,5,5,4,7,16,30,46,Bueno,Estudiante
2025-06-23 14:23:30,Grupo 1,14,T1-C,12:03:05,12:04:02,12:05:12,5,2,2,10,57,70,127,Regular,Estudiante
2025-06-23 15:18:20,Grupo 8,14,T2-D,14:48:07,14:48:07,14:48:41,2,2,2,11,0,34,34,Bueno,Estudiante
2025-06-23 15:44:40,Grupo 8,14,T2-C,15:43:15,15:43:32,15:44:16,3,1,8,11,17,44,61,Bueno,Estudiante
2025-06-23 15:46:54,Grupo 1,14,T1-A,15:44:00,15:45:17,15:46:20,4,4,8,1,77,63,140,Bueno,Estudiante
2025-06-23 16:06:03,Grupo 4,14,T2-C,16:01:35,16:01:44,16:04:35,3,4,1,10,9,171,180,Bueno,Estudiante
2025-06-23 17:45:03,Grupo 8,14,T2-D,17:14:41,17:14:41,17:15:17,3,3,8,2,0,36,36,Bueno,Estudiante
2025-06-24 09:40:09,Grupo 4,3,T1-B,06:52:45,06:54:15,06:55:23,6,2,1,8,90,68,158,Regular,Estudiante
2025-06-24 10:50:10,Grupo 4,14,T1-D,10:47:45,10:48:29,10:49:20,1,2,1,6,44,51,95,Bueno,Estudiante
2025-06-24 14:12:01,Grupo 1,14,T1-C,14:08:34,14:10:47,14:11:35,8,2,1,8,133,48,181,Malo,Estudiante
2025-06-24 16:01:06,Grupo 1,14,T1-D,15:57:35,15:58:18,16:00:09,4,6,8,1,43,111,154,Regular,Estudiante
2025-06-24 16:20:07,Grupo 8,14,T1-C,16:02:24,16:03:06,16:04:16,3,5,8,1,42,70,112,Bueno,Estudiante
2025-06-24 18:05:05,Grupo 8,14,T1-A,17:58:54,17:59:06,18:00:28,7,3,1,8,12,82,94,Regular,Estudiante
2025-06-24 20:01:23,Grupo 8,14,T1-C,19:58:17,19:58:48,19:59:39,8,10,8,1,31,51,82,Regular,Estudiante
2025-06-24 22:35:25,Grupo 4,14,T1-A,18:08:33,18:11:51,18:13:34,10,4,1,8,198,103,301,Malo,Estudiante
2025-06-24 22:39:21,Grupo 4,14,T1-D,18:43:55,18:44:31,18:45:18,5,2,1,8,36,47,83,Bueno,Estudiante
2025-06-24 22:40:23,Grupo 4,14,T2-A,08:45:16,08:50:05,08:50:28,1,1,1,5,289,23,312,Bueno,Estudiante
2025-06-25 13:16:57,Grupo 4,14,T2-C,13:15:09,13:15:15,13:15:54,1,1,6,10,6,39,45,Bueno,Estudiante
2025-06-25 16:17:49,Grupo 4,14,T2-A,16:32:33,16:16:50,16:17:15,1,1,10,3,-943,25,-918,Bueno,Estudiante
2025-06-25 17:32:37,Grupo 8,14,T1-C,15:54:37,15:57:22,15:59:02,4,3,9,1,165,100,265,Malo,Estudiante
2025-06-25 19:50:22,Grupo 4,14,T1-C,17:50:15,17:52:16,17:53:41,7,2,6,2,121,85,206,Regular,Estudiante
2025-06-25 19:51:08,Grupo 4,13,T1-C,17:09:31,17:11:46,17:12:10,4,1,1,6,135,24,159,Regular,Estudiante
2025-06-25 19:53:33,Grupo 4,14,T1-D,18:01:17,18:04:57,18:05:43,6,3,2,9,220,46,266,Regular,Estudiante
2025-06-25 21:56:01,Grupo 8,14,T1-C,21:12:07,21:12:30,21:12:49,3,3,8,1,23,19,42,Bueno,Estudiante
2025-06-26 07:27:23,Grupo 4,14,T1-C,07:03:56,07:04:06,07:05:15,1,2,11,2,10,69,79,Bueno,Estudiante
2025-06-26 07:37:02,Grupo 4,14,T2-D,07:20:11,07:21:20,07:22:01,3,2,3,6,69,41,110,Regular,Estudiante
2025-06-26 07:38:53,Grupo 4,14,T1-D,07:11:12,07:11:40,07:12:03,3,1,5,8,28,23,51,Bueno,Estudiante
2025-06-26 07:45:16,Grupo 4,14,T1-C,07:26:57,07:27:20,07:28:30,2,1,11,2,23,70,93,Bueno,Estudiante
2025-06-26 07:48:58,Grupo 4,14,T1-A,06:30:44,06:31:21,06:32:02,1,1,3,10,37,41,78,Bueno,Estudiante
2025-06-26 07:53:27,Grupo 4,14,T2-C,07:30:27,07:30:38,07:31:06,2,3,1,11,11,28,39,Bueno,Estudiante
2025-06-26 13:01:42,Grupo 9,14,T2-D,13:28:04,13:28:36,13:29:01,1,1,5,3,32,25,57,Regular,Estudiante
2025-06-26 13:47:03,Grupo 9,14,T2-A,13:31:31,13:31:33,13:32:00,1,1,6,1,2,27,29,Bueno,Estudiante
2025-06-26 15:55:10,Grupo 9,14,T1-A,15:06:59,15:07:39,15:08:13,3,2,6,2,40,34,74,Regular,Estudiante
2025-06-26 15:56:17,Grupo 9,14,T2-A,15:46:38,15:47:11,15:47:43,1,1,2,6,33,32,65,Regular,Estudiante
2025-06-26 16:04:19,Grupo 4,14,T2-D,16:01:37,NA,NA,1,3,8,10,NA,NA,NA,Bueno,Estudiante
2025-06-26 16:18:58,Grupo 9,14,T2-A,16:41:36,16:41:50,16:42:13,1,1,6,10,14,23,37,Regular,Estudiante
2025-06-26 16:25:41,Grupo 1,14,T2-C,16:24:40,16:24:55,16:25:23,3,2,14,1,15,28,43,Regular,Estudiante
2025-06-26 16:32:24,Grupo 1,14,T1-A,16:30:21,16:30:55,16:31:45,3,2,6,2,34,50,84,Regular,Estudiante
2025-06-26 16:41:26,Grupo 1,14,T1-A,16:40:12,16:40:22,16:40:40,1,2,6,11,10,18,28,Bueno,Estudiante
2025-06-26 16:44:40,Grupo 8,14,T2-D,16:42:58,16:44:09,16:44:48,1,1,11,4,71,39,110,Bueno,Estudiante
2025-06-26 17:23:40,Grupo 9,14,T2-D,16:56:42,16:56:51,16:57:48,4,1,1,9,9,57,66,Regular,Estudiante
2025-06-26 17:24:53,Grupo 9,14,T1-C,17:00:23,17:02:45,17:03:34,3,1,9,3,142,49,191,Regular,Estudiante
2025-06-26 17:27:46,Grupo 9,14,T1-D,17:25:35,17:26:00,17:27:13,2,2,2,10,25,73,98,Bueno,Estudiante
2025-06-26 17:34:17,Grupo 9,14,T1-A,17:33:20,17:33:39,17:33:55,2,2,5,6,19,16,35,Bueno,Estudiante
2025-06-26 17:41:54,Grupo 9,14,T1-C,17:41:02,17:41:37,17:42:10,2,2,6,1,35,33,68,Bueno,Estudiante
2025-06-26 17:52:10,Grupo 9,14,T1-A,16:58:28,16:59:18,16:59:49,1,4,7,1,50,31,81,Regular,Estudiante
2025-06-26 17:54:00,Grupo 9,14,T2-D,17:01:03,17:01:32,17:02:04,3,1,1,6,29,32,61,Regular,Estudiante
2025-06-26 18:48:52,Grupo 9,14,T1-C,18:48:13,18:48:30,18:49:06,2,1,6,2,17,36,53,Bueno,Estudiante
2025-06-26 18:50:10,Grupo 9,14,T2-B,18:49:22,18:49:36,18:50:02,2,2,2,6,14,26,40,Bueno,Estudiante
2025-06-26 19:05:55,Grupo 9,14,T2-A,19:04:11,19:04:53,19:05:25,1,1,10,4,42,32,74,Bueno,Estudiante
2025-06-26 19:06:49,Grupo 9,14,T1-A,19:06:20,19:06:45,19:07:19,1,1,1,6,25,34,59,Bueno,Estudiante
2025-06-26 19:09:46,Grupo 9,14,T1-C,19:07:33,19:07:49,19:08:20,2,1,6,2,16,31,47,Bueno,Estudiante
2025-06-26 19:39:53,Grupo 4,14,T2-B,15:48:49,15:50:03,15:50:35,4,3,3,8,74,32,106,Regular,Estudiante
2025-06-26 19:43:24,Grupo 4,14,T1-A,16:47:13,16:47:56,16:48:34,1,1,2,10,43,38,81,Bueno,Estudiante
2025-06-26 19:44:25,Grupo 4,14,T2-B,16:56:45,16:57:04,16:57:35,2,1,10,6,19,31,50,Bueno,Estudiante
2025-06-26 21:32:34,Grupo 4,14,T1-D,07:28:09,07:28:38,07:29:04,2,3,2,5,29,26,55,Bueno,Estudiante
2025-06-26 21:33:53,Grupo 4,14,T2-A,16:08:29,16:08:47,16:09:46,3,4,11,1,18,59,77,Bueno,Estudiante
2025-06-26 21:37:18,Grupo 4,14,T2-B,17:04:05,17:04:58,17:05:38,6,5,2,8,53,40,93,Bueno,Estudiante
2025-06-26 21:39:12,Grupo 4,14,T2-C,19:05:45,19:05:45,19:05:45,3,3,6,8,0,0,0,Regular,Estudiante
2025-06-26 21:40:54,Grupo 4,14,T1-A,21:29:35,21:29:43,21:30:14,1,1,10,1,8,31,39,Bueno,Estudiante
2025-06-26 21:41:53,Grupo 4,14,T2-D,09:45:37,09:46:44,09:47:38,2,3,11,1,67,54,121,Bueno,Estudiante
2025-06-26 21:42:06,Grupo 4,14,T1-C,21:45:13,21:45:34,21:46:24,1,2,1,10,21,50,71,Regular,Estudiante
2025-06-26 21:47:48,Grupo 4,14,T2-C,12:27:11,12:27:20,12:27:40,3,1,4,11,9,20,29,Bueno,Estudiante
2025-06-26 22:59:27,Grupo 8,14,T1-A,15:37:59,15:38:30,15:39:56,1,2,10,2,31,86,117,Regular,Estudiante
2025-06-26 23:10:03,Grupo 8,14,T1-D,13:20:45,13:21:26,13:22:40,2,1,9,3,41,74,115,Regular,Estudiante
2025-06-26 23:19:18,Grupo 8,14,T2-A,13:45:20,13:46:58,13:47:50,3,3,11,7,98,52,150,Bueno,Estudiante
2025-06-27 08:42:59,Grupo 8,5,T2-B,09:08:17,09:08:56,09:09:38,7,9,6,1,39,42,81,Malo,Estudiante
2025-06-27 10:10:12,Grupo 8,12,T1-B,09:56:45,10:02:23,10:03:02,8,2,2,10,338,39,377,Malo,Estudiante
2025-06-27 13:16:25,Grupo 8,14,T1-C,13:32:45,13:37:21,13:38:13,7,3,7,14,276,52,328,Malo,Estudiante
2025-06-27 13:17:56,Grupo 8,14,T1-A,12:58:41,13:01:47,13:02:32,13,5,1,6,186,45,231,Malo,Estudiante
NA,Grupo 8,11,T2-B,NA,NA,NA,2,2,9,1,NA,NA,NA,Bueno,Estudiante
NA,Grupo 4,13,T1-C,NA,06:59:44,07:00:11,2,2,1,8,NA,27,NA,Bueno,Estudiante
NA,Grupo 8,13,T1-B,NA,NA,NA,1,1,5,1,NA,NA,NA,Bueno,Estudiante
NA,Grupo 3,13,T2-D,NA,NA,NA,5,2,1,9,NA,NA,NA,Bueno,Estudiante
NA,Grupo 9,8,T1-C,NA,10:02:08,10:03:05,4,3,1,6,NA,57,NA,Bueno,Estudiante
NA,Grupo 3,5,T1-C,NA,NA,NA,4,2,1,9,NA,NA,NA,Bueno,Estudiante
NA,Grupo 8,12,T1-D,NA,NA,NA,5,2,11,11,NA,NA,NA,Regular,Estudiante
NA,Grupo 1,5,T1-A,NA,13:44:47,13:45:09,1,2,6,6,NA,22,NA,Regular,Estudiante
NA,Grupo 7,4,T1-A,NA,07:02:04,07:02:52,3,2,1,8,NA,48,NA,Bueno,Estudiante
NA,Grupo 9,5,T1-A,NA,14:49:22,14:49:42,2,1,6,9,NA,20,NA,Regular,Estudiante
NA,Grupo 3,6,T2-A,NA,NA,NA,8,5,1,6,NA,NA,NA,Regular,Estudiante
NA,Grupo 3,6,T2-B,NA,NA,NA,3,1,1,5,NA,NA,NA,Bueno,Estudiante
NA,Grupo 3,6,T1-A,NA,00:01:00,NA,9,4,1,9,NA,NA,NA,Regular,Estudiante
NA,Grupo 7,4,T1-C,NA,09:01:15,09:02:07,6,2,1,8,NA,52,NA,Regular,Estudiante
