age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,y
64,management,married,tertiary,no,5679,no,no,telephone,22,apr,135,3,0,no
53,technician,divorced,secondary,no,5320,no,no,cellular,9,jul,175,1,0,no
35,management,single,tertiary,no,,yes,no,cellular,25,may,179,1,0,no
58,self-employed,married,secondary,no,6407,yes,no,,30,may,58,1,0,no
40,technician,married,secondary,no,6270,no,no,cellular,17,apr,342,2,0,no
41,services,divorced,secondary,no,5654,yes,no,cellular,13,may,139,2,0,no
48,retired,married,primary,no,10173,yes,no,,18,jun,88,8,0,no
44,entrepreneur,married,tertiary,no,8463,yes,yes,cellular,28,aug,210,3,0,no
39,blue-collar,married,,no,5000,no,no,cellular,2,feb,731,1,3,no
61,management,married,tertiary,no,11016,no,no,cellular,2,feb,670,3,0,yes
36,entrepreneur,married,primary,no,5177,yes,no,,12,may,63,5,0,no
28,management,married,tertiary,no,8694,no,yes,cellular,8,jul,70,2,0,no
58,retired,single,secondary,no,6640,no,yes,cellular,4,feb,72,6,4,no
60,admin.,divorced,secondary,no,5174,yes,no,cellular,15,may,241,1,1,no
66,admin.,single,secondary,no,,no,no,cellular,5,may,272,4,0,no
36,management,single,tertiary,no,5490,no,no,cellular,28,aug,207,8,1,yes
49,self-employed,married,secondary,no,7576,yes,no,cellular,15,may,64,6,0,no
40,services,married,secondary,no,5000,no,no,,12,jun,543,2,0,no
23,technician,single,secondary,no,5598,no,no,cellular,30,apr,166,1,0,no
29,management,single,tertiary,no,,no,no,cellular,26,may,245,3,7,no
44,blue-collar,married,primary,no,5271,yes,yes,,9,may,94,1,0,no
54,management,married,,no,7508,no,no,,20,jun,34,8,0,no
47,blue-collar,married,primary,no,5320,no,no,telephone,30,jul,203,2,0,no
33,admin.,married,tertiary,no,5640,no,no,cellular,24,jul,318,1,0,no
30,self-employed,married,secondary,no,6772,yes,no,cellular,13,apr,158,4,0,no
27,admin.,single,secondary,no,5015,no,yes,cellular,21,jul,177,1,0,no
49,management,divorced,tertiary,no,7370,yes,yes,,17,nov,56,1,2,no
27,services,single,secondary,no,5201,yes,no,,4,jun,172,2,0,no
51,blue-collar,married,secondary,no,5160,yes,no,cellular,7,may,136,1,1,no
32,admin.,divorced,secondary,yes,5005,yes,yes,cellular,18,may,82,3,2,no
30,blue-collar,single,secondary,no,5075,yes,no,,16,may,123,1,0,no
33,admin.,married,secondary,no,9902,yes,no,cellular,20,nov,110,1,0,no
27,blue-collar,single,primary,no,4921,yes,no,,30,may,385,5,0,no
75,retired,divorced,secondary,no,6341,no,no,cellular,18,dec,415,7,0,yes
37,services,divorced,secondary,no,5490,yes,no,cellular,2,feb,73,1,0,no
36,technician,single,secondary,no,6521,yes,no,,16,jun,243,2,0,no
37,blue-collar,married,secondary,no,5131,yes,no,,9,may,137,2,0,no
35,management,married,tertiary,no,5008,yes,no,,23,may,55,4,0,no
32,services,married,secondary,no,4368,yes,yes,cellular,20,apr,,5,0,no
32,admin.,single,secondary,no,5116,no,yes,cellular,16,jul,255,2,0,no
35,admin.,married,primary,no,5189,yes,no,cellular,11,may,95,1,0,no
31,blue-collar,married,primary,no,5002,yes,yes,cellular,10,jul,112,1,0,no
28,blue-collar,single,secondary,no,9229,yes,yes,cellular,5,may,205,2,0,no
27,services,married,secondary,no,5054,yes,no,cellular,18,may,97,1,1,no
22,student,single,,no,5549,no,no,cellular,2,sep,154,1,0,no
35,blue-collar,married,primary,no,5298,yes,no,cellular,13,may,135,2,2,no
69,retired,married,primary,no,5579,no,no,cellular,14,aug,230,1,0,no
37,entrepreneur,single,tertiary,no,6467,yes,yes,cellular,17,nov,349,1,0,no
45,admin.,single,secondary,no,5000,yes,no,cellular,8,may,38,1,0,no
47,management,married,tertiary,no,5109,yes,no,cellular,22,jul,268,1,0,no
52,management,married,tertiary,no,4989,yes,no,cellular,11,may,94,4,0,no
33,services,married,secondary,no,5090,yes,no,cellular,28,jul,263,2,0,no
60,blue-collar,married,primary,no,5493,no,no,cellular,18,aug,671,4,0,yes
33,management,divorced,secondary,no,6897,yes,yes,,2,jun,197,1,0,no
44,admin.,married,secondary,no,7403,yes,no,cellular,28,jan,180,2,0,no
38,entrepreneur,married,secondary,no,5868,no,no,cellular,20,nov,452,2,0,no
54,entrepreneur,married,secondary,no,5653,yes,no,,15,may,352,1,0,no
32,unemployed,divorced,primary,no,5000,no,no,cellular,15,jul,175,4,0,no
33,technician,married,secondary,no,5000,yes,yes,cellular,19,nov,163,2,0,no
55,services,divorced,secondary,no,5218,yes,no,,29,may,200,2,0,no
51,blue-collar,married,primary,no,10050,no,yes,,16,jun,75,7,0,no
48,blue-collar,married,secondary,no,5741,yes,no,cellular,16,apr,227,1,0,no
37,services,single,secondary,no,6050,yes,no,cellular,3,feb,586,3,0,no
33,services,single,secondary,no,4944,no,yes,cellular,10,jul,119,5,0,no
30,blue-collar,married,primary,no,5001,yes,yes,telephone,22,jul,80,2,0,no
43,blue-collar,married,primary,no,4902,yes,yes,cellular,12,may,112,2,3,no
49,technician,married,secondary,no,9667,yes,no,,19,may,130,2,0,no
54,unemployed,married,primary,no,5541,yes,no,cellular,3,feb,237,3,0,no
31,unemployed,married,tertiary,no,12744,no,no,cellular,26,aug,377,8,0,no
54,management,married,,no,5895,no,no,cellular,7,oct,335,1,0,yes
36,unemployed,married,secondary,no,4871,yes,no,cellular,29,jul,121,3,0,no
30,admin.,married,secondary,no,5000,no,no,cellular,15,jul,127,5,0,no
27,technician,single,secondary,no,5158,no,no,,1,jul,650,2,0,yes
30,admin.,married,secondary,no,5122,yes,no,,16,may,107,1,0,no
30,blue-collar,married,secondary,no,5673,yes,no,,20,may,610,2,0,no
35,technician,divorced,secondary,no,5000,no,no,cellular,25,aug,124,4,0,no
33,services,divorced,secondary,no,5411,yes,no,,8,may,216,1,0,no
43,blue-collar,divorced,primary,no,4903,yes,yes,cellular,31,jul,747,4,0,no
41,blue-collar,married,secondary,no,4783,yes,no,cellular,11,may,313,1,3,no
41,management,divorced,tertiary,no,10037,no,no,cellular,23,apr,252,9,5,yes
46,admin.,divorced,secondary,no,7232,no,no,cellular,13,feb,121,1,0,yes
54,blue-collar,married,secondary,no,4068,yes,no,,7,may,799,1,0,no
32,management,married,tertiary,no,5913,yes,no,cellular,23,jun,883,1,4,no
30,technician,single,tertiary,no,5236,yes,no,,16,may,197,1,0,no
40,entrepreneur,married,primary,no,5000,yes,no,cellular,11,jul,271,2,0,no
30,blue-collar,married,primary,no,7581,no,no,,12,may,221,2,0,no
27,admin.,married,secondary,no,5639,no,yes,cellular,14,jul,243,3,0,no
41,blue-collar,married,primary,no,5849,yes,no,,15,may,72,1,0,no
54,services,married,secondary,no,5386,yes,no,cellular,2,aug,155,2,0,no
32,management,single,tertiary,no,6218,yes,no,telephone,28,jan,70,2,0,no
31,management,married,tertiary,no,7603,yes,no,cellular,11,feb,280,4,0,yes
42,blue-collar,married,secondary,no,4079,yes,no,,26,may,115,2,0,no
48,admin.,married,primary,no,5607,no,no,,20,jun,29,2,0,no
34,blue-collar,married,primary,no,5079,yes,no,cellular,14,may,406,2,0,no
55,technician,divorced,secondary,no,5061,yes,yes,cellular,25,aug,113,3,0,no
49,technician,married,secondary,no,6091,no,no,telephone,30,jul,47,2,0,no
46,management,divorced,tertiary,no,5743,no,no,,5,jun,36,2,0,no
47,entrepreneur,married,,no,5209,yes,no,,6,may,135,2,0,no
24,management,single,tertiary,no,5172,no,no,cellular,3,jul,67,2,0,no
58,entrepreneur,married,secondary,no,5002,no,no,,16,jun,684,1,0,no
32,management,single,tertiary,no,5041,no,no,cellular,21,aug,686,5,0,yes
25,student,single,secondary,no,6116,yes,no,cellular,2,mar,170,3,0,no
49,blue-collar,married,secondary,no,,no,no,,17,jun,150,3,0,no
59,retired,divorced,secondary,no,10845,no,no,cellular,14,may,1060,2,0,yes
30,management,single,tertiary,no,5329,yes,no,,6,jun,122,16,0,no
46,blue-collar,married,secondary,no,5494,yes,no,,26,may,724,1,0,no
42,management,married,,no,6519,no,no,cellular,19,oct,230,1,1,yes
37,entrepreneur,married,tertiary,no,7685,no,no,,20,jun,187,2,0,no
44,blue-collar,married,primary,no,4986,yes,yes,,19,may,179,4,0,no
49,services,married,secondary,no,10673,no,yes,cellular,4,aug,357,3,0,no
41,blue-collar,married,secondary,no,6459,no,no,,5,jun,82,1,0,no
48,technician,married,tertiary,no,5000,no,no,telephone,26,aug,176,15,0,no
31,management,married,secondary,no,5625,yes,no,cellular,7,apr,424,1,1,no
37,student,married,,no,5000,no,no,,18,jun,115,1,0,no
51,services,married,secondary,no,5867,yes,no,cellular,3,feb,177,2,3,no
80,retired,married,secondary,no,13304,no,no,telephone,9,jun,712,1,12,yes
32,management,single,tertiary,no,5151,yes,no,,6,may,118,1,0,no
48,services,married,primary,yes,4417,yes,no,,2,jun,25,7,0,no
49,blue-collar,married,tertiary,no,6784,no,no,,12,jun,753,1,0,no
30,management,married,tertiary,no,8134,yes,no,cellular,17,jul,124,1,0,no
27,self-employed,single,secondary,no,5049,yes,no,cellular,30,jan,208,2,0,no
34,technician,married,secondary,no,4654,no,no,cellular,13,aug,136,4,0,no
49,management,married,secondary,no,6623,yes,no,cellular,19,nov,1081,2,0,yes
48,management,married,tertiary,no,5060,no,no,telephone,7,may,376,2,7,no
40,services,married,secondary,no,5017,no,no,cellular,4,jun,78,1,0,no
38,blue-collar,married,secondary,no,7008,yes,no,cellular,18,nov,354,1,0,no
46,blue-collar,married,primary,no,5091,yes,no,cellular,6,may,29,1,2,no
41,entrepreneur,married,tertiary,no,5171,yes,no,cellular,19,nov,209,1,4,no
28,management,single,tertiary,no,6027,yes,no,cellular,14,may,433,1,0,no
51,services,married,,no,10801,yes,no,,29,may,147,2,0,no
33,blue-collar,divorced,primary,no,5142,yes,no,telephone,11,may,41,2,5,no
26,management,single,tertiary,no,5205,no,no,,26,may,111,1,0,no
34,admin.,single,secondary,no,5852,no,no,cellular,14,apr,108,2,0,no
27,blue-collar,married,secondary,yes,4416,yes,no,cellular,7,may,411,2,0,no
42,self-employed,married,secondary,no,5097,no,no,cellular,10,jul,108,2,0,no
45,admin.,married,secondary,no,5204,yes,no,cellular,3,jun,224,2,0,yes
31,technician,single,secondary,no,5628,yes,no,,12,may,1083,2,0,no
32,management,single,tertiary,no,5311,no,no,,12,may,757,2,0,yes
39,blue-collar,married,primary,no,6564,no,no,,17,jun,57,1,0,no
26,blue-collar,single,secondary,no,5856,yes,yes,cellular,30,jul,95,5,0,no
40,management,single,tertiary,no,6509,no,no,cellular,15,mar,144,2,1,no
52,services,married,secondary,no,4112,no,no,cellular,16,jul,135,1,0,no
40,technician,single,tertiary,no,5226,no,no,cellular,15,jan,176,2,0,no
48,technician,married,secondary,no,5127,no,yes,cellular,7,aug,524,5,0,no
31,services,married,secondary,no,5413,yes,no,,13,may,65,1,0,no
27,admin.,married,secondary,no,5710,yes,yes,cellular,6,may,653,1,2,yes
47,technician,married,secondary,no,6233,yes,no,,11,sep,91,1,2,yes
28,management,single,secondary,no,5171,no,no,cellular,10,mar,93,1,0,yes
40,management,divorced,tertiary,no,5069,yes,no,cellular,6,may,503,2,2,no
34,admin.,married,secondary,no,6499,yes,no,cellular,13,apr,186,1,2,no
29,self-employed,married,tertiary,no,5751,yes,no,,23,may,121,2,0,no
36,management,married,tertiary,no,5061,no,yes,cellular,19,aug,452,2,0,no
83,retired,married,primary,no,5425,no,no,telephone,22,jun,883,1,1,yes
55,services,divorced,primary,no,7923,yes,no,,15,may,104,2,0,no
43,management,divorced,tertiary,no,5099,no,no,cellular,29,jan,24,3,0,no
23,student,single,secondary,no,6021,no,no,telephone,19,jun,79,9,0,no
44,technician,married,tertiary,no,6146,no,no,cellular,4,jul,178,2,0,no
58,blue-collar,married,primary,no,5781,yes,no,cellular,15,may,74,2,0,no
29,admin.,single,secondary,no,6448,no,no,cellular,10,mar,217,1,7,no
30,management,single,tertiary,no,5604,no,yes,cellular,2,feb,475,1,0,no
29,admin.,single,secondary,no,4806,yes,no,cellular,7,may,127,1,0,no
41,technician,married,secondary,no,5000,no,no,cellular,11,mar,101,1,0,no
35,housemaid,married,primary,no,5000,yes,no,cellular,14,jul,340,3,0,no
31,technician,single,secondary,no,6014,yes,no,cellular,23,jul,158,4,0,no
27,admin.,single,tertiary,no,5073,no,no,cellular,29,jan,242,1,0,no
47,services,married,secondary,no,7597,yes,no,,16,may,323,1,0,no
53,self-employed,married,tertiary,no,7627,yes,yes,,16,jun,,30,0,no
34,management,married,tertiary,no,6906,yes,no,cellular,14,jul,68,3,0,no
34,blue-collar,married,primary,no,4681,yes,yes,cellular,9,jul,134,4,0,no
36,management,married,tertiary,no,4704,yes,no,cellular,14,may,113,3,0,no
40,technician,married,secondary,no,5169,yes,no,cellular,18,aug,43,4,0,no
37,self-employed,single,tertiary,no,5556,no,no,,17,jun,200,2,0,no
65,retired,divorced,,no,5300,no,no,cellular,2,aug,245,2,0,no
53,technician,divorced,secondary,no,5751,yes,no,,16,may,343,4,0,no
28,technician,single,secondary,no,5126,no,no,cellular,3,mar,229,1,0,no
33,technician,divorced,tertiary,no,4614,yes,no,,23,may,530,1,0,no
56,blue-collar,married,primary,no,5379,no,no,cellular,13,aug,58,5,0,no
45,self-employed,married,secondary,no,5706,no,no,cellular,30,apr,78,2,1,no
39,technician,married,secondary,no,14121,no,no,,5,jun,147,1,0,no
28,management,single,tertiary,no,6466,yes,no,cellular,25,jul,40,1,0,no
36,blue-collar,married,primary,no,5000,yes,no,cellular,18,nov,618,2,0,no
41,blue-collar,married,primary,no,5951,yes,no,cellular,20,apr,23,4,0,no
46,admin.,married,secondary,no,5368,no,no,cellular,20,aug,293,1,4,yes
41,blue-collar,married,secondary,no,5121,yes,no,cellular,13,may,,6,5,no
59,services,married,secondary,no,5204,no,no,cellular,23,jul,286,2,0,no
24,admin.,married,secondary,no,5299,yes,no,cellular,6,may,209,1,1,no
34,management,married,tertiary,no,9170,yes,no,,21,may,935,1,0,no
40,blue-collar,married,primary,no,4665,yes,no,,27,may,260,1,0,no
42,admin.,married,secondary,no,8165,yes,no,,16,jun,298,4,0,no
50,services,married,secondary,no,5254,yes,no,cellular,15,apr,397,2,1,no
25,management,single,tertiary,no,5553,yes,no,cellular,17,sep,113,4,1,no
51,services,divorced,secondary,no,5518,yes,no,telephone,17,nov,76,1,0,no
50,management,married,tertiary,no,5085,no,yes,cellular,1,jun,141,1,0,no
37,blue-collar,married,,no,5603,yes,no,,23,may,773,2,0,no
21,services,single,secondary,no,5361,no,no,telephone,5,jun,329,1,1,no
52,blue-collar,married,secondary,no,4902,yes,no,,7,may,423,1,0,no
55,retired,married,primary,no,9424,no,no,cellular,5,aug,67,4,0,no
26,technician,single,secondary,no,7610,yes,yes,,2,jun,626,1,0,no
38,technician,married,tertiary,no,8234,no,no,cellular,18,nov,578,2,0,yes
32,blue-collar,married,secondary,no,5687,yes,no,,9,may,61,1,0,no
31,blue-collar,married,secondary,no,5631,yes,no,,23,may,248,4,0,no
34,technician,single,secondary,no,5341,no,yes,cellular,29,jan,136,1,3,no
33,technician,single,tertiary,no,,no,no,cellular,21,aug,126,3,0,no
35,technician,married,secondary,no,5002,no,no,telephone,28,jan,653,3,0,no
44,management,married,,no,5415,yes,no,telephone,14,may,,7,0,no
48,management,divorced,tertiary,no,5507,yes,no,cellular,9,apr,528,1,0,no
29,blue-collar,married,secondary,no,5912,yes,no,cellular,13,may,785,1,0,no
50,management,married,tertiary,no,5000,no,no,cellular,9,jul,243,5,0,no
37,blue-collar,married,primary,no,5037,yes,no,cellular,13,may,24,2,1,no
44,admin.,single,secondary,no,7524,no,no,,19,jun,82,1,0,no
36,unemployed,single,tertiary,no,14019,yes,no,,11,jun,952,3,0,no
49,blue-collar,divorced,,no,5039,yes,no,cellular,13,may,27,5,0,no
31,blue-collar,married,secondary,no,5000,yes,no,,5,may,143,1,0,no
49,technician,divorced,secondary,no,5265,yes,no,,12,may,274,6,0,no
35,blue-collar,single,secondary,no,5000,yes,no,cellular,16,apr,1174,1,4,yes
57,admin.,divorced,,no,9012,no,no,cellular,20,nov,915,1,0,no
42,blue-collar,married,primary,no,6520,yes,no,cellular,5,feb,115,1,0,no
36,blue-collar,divorced,secondary,no,4860,yes,no,,26,may,222,2,0,no
75,retired,divorced,primary,no,5852,no,no,cellular,15,mar,341,1,0,no
38,blue-collar,single,secondary,no,5578,yes,no,,21,may,112,2,0,no
40,blue-collar,married,primary,yes,5000,yes,no,,6,may,64,2,0,no
38,services,single,secondary,no,7253,yes,no,cellular,13,may,937,3,0,yes
34,management,single,tertiary,no,6171,yes,no,cellular,10,jul,129,1,0,no
29,technician,single,tertiary,no,5452,yes,no,cellular,11,may,59,1,0,no
28,admin.,married,secondary,no,4903,yes,no,cellular,29,jan,79,1,2,no
79,retired,married,secondary,no,9738,no,no,telephone,9,jul,151,5,0,no
51,admin.,divorced,secondary,no,5467,yes,no,,19,may,83,1,0,no
32,student,single,tertiary,no,5000,no,no,cellular,6,aug,101,5,6,no
36,management,married,tertiary,no,5495,no,no,cellular,5,aug,157,3,2,yes
38,entrepreneur,married,secondary,no,5157,no,yes,cellular,15,may,57,11,1,no
49,self-employed,married,secondary,no,5358,yes,yes,,13,may,176,3,0,no
42,services,married,secondary,no,5292,yes,no,cellular,11,may,222,3,0,no
43,blue-collar,married,primary,no,12343,yes,no,,2,jun,217,4,0,no
34,blue-collar,married,secondary,no,4437,yes,no,,26,may,252,1,0,no
59,retired,single,secondary,no,5351,yes,no,,27,may,1063,5,0,yes
35,management,married,primary,no,5365,no,no,cellular,29,aug,41,2,0,no
33,blue-collar,single,secondary,no,,yes,no,,20,jun,27,25,0,no
34,admin.,single,secondary,no,5846,yes,no,cellular,17,apr,758,2,0,no
64,retired,married,secondary,no,6574,no,no,telephone,29,jul,301,3,0,yes
34,entrepreneur,married,tertiary,no,4972,yes,no,cellular,16,jul,574,1,0,no
77,retired,married,tertiary,no,5000,no,no,cellular,16,oct,847,1,1,yes
57,retired,married,primary,no,7927,no,yes,telephone,30,jul,78,5,0,no
30,blue-collar,married,secondary,no,5501,yes,yes,,27,may,514,1,0,no
56,housemaid,divorced,primary,yes,6238,no,no,,5,jun,,1,0,yes
49,management,married,,no,5301,no,no,cellular,14,aug,789,2,0,no
73,retired,married,primary,no,6388,no,no,cellular,20,jul,146,3,3,no
39,technician,single,secondary,no,5102,yes,no,cellular,14,aug,272,2,0,no
57,technician,divorced,primary,no,5013,yes,no,cellular,8,may,323,2,2,no
32,self-employed,married,secondary,no,5413,yes,no,cellular,11,jul,712,2,0,no
32,technician,single,tertiary,no,9665,yes,no,,21,may,860,2,0,yes
45,admin.,married,secondary,no,5638,yes,no,cellular,20,aug,75,9,0,no
32,blue-collar,married,secondary,no,5101,yes,no,,19,may,191,4,0,no
31,management,married,tertiary,no,6224,yes,yes,cellular,24,jul,1441,2,0,yes
49,self-employed,married,secondary,no,6103,no,no,cellular,12,aug,428,2,0,no
29,services,married,secondary,no,8748,no,no,cellular,28,may,322,3,0,no
55,technician,married,secondary,no,5955,yes,no,cellular,29,jan,104,1,0,no
30,admin.,married,secondary,no,5518,yes,no,cellular,8,may,127,1,0,no
45,services,single,primary,no,6893,yes,no,,3,jun,1259,6,0,yes
39,technician,married,tertiary,no,5014,no,no,cellular,28,jan,114,2,0,no
36,admin.,married,secondary,no,4577,yes,yes,,13,may,106,1,0,no
33,management,married,tertiary,no,8696,no,no,cellular,19,nov,305,1,3,no
36,management,married,tertiary,no,7987,yes,no,cellular,12,aug,307,1,0,yes
31,technician,single,secondary,no,5433,no,no,cellular,11,aug,,2,0,no
36,technician,married,,no,5756,no,no,cellular,11,jul,396,3,0,no
38,technician,single,tertiary,no,5000,yes,no,cellular,1,jun,71,1,0,no
33,technician,married,secondary,no,7727,no,no,cellular,6,aug,205,3,0,no
40,technician,married,secondary,no,5093,yes,no,,13,may,134,2,0,no
31,blue-collar,married,secondary,no,6766,no,yes,cellular,5,jun,166,2,0,yes
39,services,married,secondary,no,5124,yes,no,cellular,31,jul,81,5,0,no
33,admin.,married,tertiary,no,5069,no,yes,cellular,4,may,77,2,0,no
53,services,divorced,secondary,no,5000,no,no,cellular,12,mar,80,2,0,yes
38,management,married,tertiary,no,5000,yes,no,cellular,13,may,537,5,2,no
59,technician,married,secondary,no,5259,no,no,cellular,15,jun,415,1,1,yes
55,blue-collar,married,primary,no,9103,no,no,cellular,19,nov,291,1,0,no
38,technician,single,tertiary,no,5744,yes,no,cellular,14,may,283,1,12,no
48,services,married,secondary,no,5116,yes,no,telephone,20,apr,70,4,0,no
53,blue-collar,married,secondary,no,5070,yes,no,,5,may,611,2,0,no
44,admin.,divorced,secondary,no,5432,no,no,cellular,9,feb,132,3,0,no
57,management,married,tertiary,no,6172,no,no,,18,jun,26,1,0,no
29,blue-collar,single,secondary,no,5009,yes,no,cellular,11,may,262,3,0,no
31,services,married,secondary,no,5428,yes,no,,21,may,272,1,0,no
35,technician,single,tertiary,no,12546,yes,no,cellular,28,dec,137,1,3,no
31,blue-collar,married,primary,no,5620,no,no,cellular,30,mar,95,1,0,no
35,self-employed,married,tertiary,no,13647,no,no,cellular,19,nov,140,2,0,no
40,management,single,secondary,no,5192,yes,no,,16,may,71,11,0,no
39,blue-collar,married,secondary,no,5000,yes,no,cellular,7,may,502,1,2,no
43,technician,single,tertiary,no,,yes,no,,3,jun,164,7,0,no
44,entrepreneur,married,primary,no,5276,yes,yes,,15,may,219,1,0,no
29,technician,single,secondary,no,5113,no,no,cellular,12,feb,328,2,4,yes
40,technician,married,secondary,no,5782,yes,no,,14,may,224,2,0,no
33,entrepreneur,married,primary,no,5082,yes,no,cellular,18,nov,63,2,0,no
46,management,married,tertiary,no,6008,no,no,cellular,29,aug,24,13,0,no
27,technician,single,tertiary,no,11421,no,no,telephone,28,jan,147,4,0,no
26,admin.,single,secondary,no,5443,no,no,cellular,30,jul,84,3,0,no
41,technician,married,secondary,no,5351,yes,no,cellular,9,jul,175,1,0,no
34,technician,married,tertiary,no,10060,yes,no,cellular,21,aug,,21,0,no
39,technician,single,tertiary,no,4959,no,yes,cellular,25,aug,40,15,0,no
27,services,single,secondary,no,4876,no,no,cellular,18,jul,217,1,0,no
31,blue-collar,married,secondary,no,5079,yes,yes,cellular,23,jul,235,11,0,no
44,unemployed,single,secondary,no,8945,no,no,cellular,28,jan,255,1,0,no
55,retired,married,tertiary,no,5197,no,yes,cellular,8,jul,256,1,0,no
51,blue-collar,divorced,primary,no,5837,no,no,telephone,30,jul,41,2,0,no
50,management,married,tertiary,no,,no,yes,,25,jun,75,1,0,no
30,services,married,secondary,no,6743,yes,no,cellular,5,feb,192,4,0,no
46,technician,married,secondary,no,5057,no,no,,28,may,796,1,0,yes
49,admin.,married,secondary,no,5635,no,no,cellular,25,aug,220,3,0,no
56,retired,married,secondary,no,4887,yes,yes,cellular,12,aug,614,2,0,no
47,admin.,divorced,secondary,no,5225,no,no,cellular,28,aug,1126,4,0,yes
30,admin.,married,secondary,no,5124,no,no,telephone,16,jun,161,2,0,no
36,entrepreneur,single,secondary,no,5475,no,no,cellular,25,jul,141,3,0,no
40,management,married,tertiary,no,4993,no,yes,telephone,25,jul,697,1,0,no
37,technician,single,secondary,yes,5375,no,no,,9,jun,223,2,0,no
42,admin.,divorced,secondary,no,5936,no,no,cellular,30,jan,931,1,0,yes
45,technician,married,secondary,no,6415,yes,no,cellular,17,nov,483,1,1,no
34,unemployed,single,secondary,no,5000,no,no,cellular,17,nov,63,2,0,no
27,admin.,single,secondary,no,8638,no,no,cellular,11,jul,271,5,0,no
30,blue-collar,married,secondary,no,4901,yes,no,cellular,15,may,144,5,0,no
32,technician,married,secondary,no,5167,yes,yes,cellular,8,aug,79,3,0,no
46,housemaid,married,primary,no,5019,yes,no,telephone,21,jul,171,1,0,no
29,self-employed,married,tertiary,no,5242,yes,no,cellular,18,jul,73,4,0,no
53,technician,married,,no,5013,no,no,telephone,28,jan,69,1,0,no
32,technician,married,secondary,no,5286,no,no,cellular,20,apr,60,1,4,no
49,unemployed,married,secondary,no,5769,yes,no,,14,may,257,1,0,no
35,management,married,tertiary,no,5093,no,no,cellular,4,may,198,2,1,no
38,blue-collar,married,secondary,no,6663,yes,no,cellular,13,apr,217,3,1,no
39,entrepreneur,married,primary,no,5238,yes,yes,cellular,19,nov,134,1,0,no
34,technician,single,secondary,no,7178,yes,no,cellular,26,may,41,1,0,no
42,blue-collar,married,primary,no,5792,yes,yes,cellular,19,nov,611,2,12,no
35,blue-collar,single,,no,5871,yes,no,,6,jun,216,3,0,no
60,admin.,married,secondary,no,6025,no,no,cellular,6,aug,388,8,0,no
57,technician,divorced,secondary,no,5063,yes,no,,5,may,242,1,0,no
31,blue-collar,single,secondary,no,5016,no,no,cellular,7,jul,387,1,0,no
29,management,single,secondary,no,5417,no,no,cellular,7,oct,90,1,0,no
41,services,married,secondary,no,8992,yes,no,telephone,20,nov,281,2,0,no
46,blue-collar,married,primary,no,7749,yes,no,cellular,17,nov,332,1,0,no
33,technician,married,secondary,no,5133,no,no,cellular,4,may,218,1,0,yes
32,blue-collar,single,secondary,no,6721,yes,no,,21,may,650,2,0,no
54,management,divorced,tertiary,no,7171,yes,yes,telephone,18,nov,1034,1,0,yes
37,services,married,secondary,no,9760,yes,no,cellular,8,may,182,2,2,no
32,technician,single,secondary,no,7979,no,no,cellular,25,may,156,1,0,no
43,management,married,tertiary,no,5690,yes,no,cellular,6,aug,171,3,0,no
50,blue-collar,divorced,secondary,no,5203,yes,no,telephone,19,nov,265,1,4,no
34,blue-collar,married,secondary,no,5322,yes,no,cellular,20,apr,,3,0,no
31,admin.,divorced,secondary,no,6210,no,no,cellular,16,jul,350,1,0,no
43,self-employed,married,secondary,no,5634,yes,no,cellular,17,nov,65,1,1,no
49,entrepreneur,married,secondary,no,5273,no,no,cellular,23,jul,58,1,0,no
22,student,single,,no,5047,no,no,cellular,3,jul,69,3,0,no
35,management,married,tertiary,no,6100,no,yes,cellular,29,jan,127,2,0,no
56,admin.,married,secondary,no,5000,yes,no,telephone,19,nov,154,2,0,no
53,blue-collar,married,secondary,no,5000,no,no,telephone,31,jul,36,4,0,no
54,entrepreneur,married,tertiary,no,6544,no,yes,cellular,5,feb,85,7,3,no
32,services,single,,no,11145,yes,no,cellular,14,may,362,1,13,no
41,self-employed,married,secondary,no,5028,yes,no,cellular,11,may,49,1,0,no
40,blue-collar,married,secondary,no,6012,yes,no,cellular,6,may,410,1,0,no
33,blue-collar,married,primary,no,5245,yes,yes,cellular,8,may,253,3,0,no
33,management,single,tertiary,no,6998,no,no,cellular,19,nov,570,1,0,no
34,blue-collar,married,secondary,no,8990,yes,no,cellular,24,jul,633,7,0,no
36,services,married,secondary,no,6328,yes,no,,6,jun,82,4,0,no
34,entrepreneur,married,tertiary,no,5412,yes,yes,cellular,8,jul,164,1,0,no
55,management,married,primary,no,5229,no,yes,,9,jun,175,3,0,no
28,student,single,tertiary,no,6562,no,no,cellular,15,feb,659,4,0,yes
29,admin.,single,secondary,no,8432,yes,no,cellular,17,apr,139,2,0,no
31,admin.,single,secondary,no,5144,yes,no,,4,jul,43,11,0,no
52,management,married,tertiary,no,6339,yes,no,cellular,22,aug,343,5,0,no
54,services,married,,no,5386,no,yes,cellular,19,nov,74,1,1,no
43,blue-collar,married,primary,no,12727,yes,no,,15,may,302,8,0,no
55,entrepreneur,married,secondary,no,5204,no,no,cellular,14,jul,455,13,0,no
28,blue-collar,divorced,,no,5101,yes,no,,28,may,126,4,0,no
45,unemployed,divorced,secondary,no,5728,yes,yes,cellular,18,nov,107,1,0,no
45,entrepreneur,married,primary,no,7418,yes,no,,14,may,120,1,0,no
